 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Eine Weste ( in Österreich und der Schweiz Gilet ) ist ein Kleidungsstück und gehört zur Oberbekleidung . Sie ist eine ärmellose taillenlange Jacke und wird über einem anderen Kleidungsstück , meist dem Oberhemd , getragen
1-1	Eine	O	_	_	
1-2	Weste	B-NC	Hypernym|Hypernym	1-24|1-17	
1-3	(	O	_	_	
1-4	in	O	_	_	
1-5	Österreich	B-NC	_	_	
1-6	und	O	_	_	
1-7	der	O	_	_	
1-8	Schweiz	B-NC	_	_	
1-9	Gilet	B-NC	Synonym	1-2	
1-10	)	O	_	_	
1-11	ist	O	_	_	
1-12	ein	O	_	_	
1-13	Kleidungsstück	B-NC	_	_	
1-14	und	O	_	_	
1-15	gehört	O	_	_	
1-16	zur	O	_	_	
1-17	Oberbekleidung	B-NC	_	_	
1-18	.	O	_	_	
1-19	Sie	O	_	_	
1-20	ist	O	_	_	
1-21	eine	O	_	_	
1-22	ärmellose	O	_	_	
1-23	taillenlange	O	_	_	
1-24	Jacke	B-NC	Hypernym|Hypernym	1-17|1-30	
1-25	und	O	_	_	
1-26	wird	O	_	_	
1-27	über	O	_	_	
1-28	einem	O	_	_	
1-29	anderen	O	_	_	
1-30	Kleidungsstück	B-NC	_	_	
1-31	,	O	_	_	
1-32	meist	O	_	_	
1-33	dem	O	_	_	
1-34	Oberhemd	B-NC	Hypernym|Hypernym	1-17|1-30	
1-35	,	O	_	_	
1-36	getragen	O	_	_	

#id=2
#text=Westen bestehen aus unterschiedlichen Stoffen . Es gibt z. B. Leder- , Leinen- , Woll- als auch Strick- und Steppwesten . Beim dreiteiligen Anzug besteht die Westenvorderseite aus dem gleichen Material wie der gesamte Anzug , die Rückenseite hingegen aus Futterstoff . Bei festlichen Anzügen ( Smoking ) und als Frackweste kann die Weste auch kontrastfarbig oder bunt sein
2-1	Westen	B-NC	Holonym	2-24	
2-2	bestehen	O	_	_	
2-3	aus	O	_	_	
2-4	unterschiedlichen	O	_	_	
2-5	Stoffen	B-NC	_	_	
2-6	.	O	_	_	
2-7	Es	O	_	_	
2-8	gibt	O	_	_	
2-9	z.	O	_	_	
2-10	B.	B-NC	_	_	
2-11	Leder-	B-NCpart	Hypernym	2-1	
2-12	,	O	_	_	
2-13	Leinen-	B-NCpart	Hypernym	2-1	
2-14	,	O	_	_	
2-15	Woll-	B-NCpart	Hypernym	2-1	
2-16	als	O	_	_	
2-17	auch	O	_	_	
2-18	Strick-	B-NCpart	Hypernym	2-1	
2-19	und	O	_	_	
2-20	Steppwesten	B-NC	Hypernym	2-1	
2-21	.	O	_	_	
2-22	Beim	O	_	_	
2-23	dreiteiligen	O	_	_	
2-24	Anzug	B-NC	_	_	
2-25	besteht	O	_	_	
2-26	die	O	_	_	
2-27	Westenvorderseite	B-NC	Holonym	2-1	
2-28	aus	O	_	_	
2-29	dem	O	_	_	
2-30	gleichen	O	_	_	
2-31	Material	B-NC	Synonym	2-5	
2-32	wie	O	_	_	
2-33	der	O	_	_	
2-34	gesamte	O	_	_	
2-35	Anzug	B-NC	_	_	
2-36	,	O	_	_	
2-37	die	O	_	_	
2-38	Rückenseite	B-NC	Holonym	2-54	
2-39	hingegen	O	_	_	
2-40	aus	O	_	_	
2-41	Futterstoff	B-NC	Hypernym|Holonym	2-5|2-38	
2-42	.	O	_	_	
2-43	Bei	O	_	_	
2-44	festlichen	O	_	_	
2-45	Anzügen	B-NC	_	_	
2-46	(	O	_	_	
2-47	Smoking	B-NC	Hypernym	2-35	
2-48	)	O	_	_	
2-49	und	O	_	_	
2-50	als	O	_	_	
2-51	Frackweste	B-NC	Hypernym	2-54	
2-52	kann	O	_	_	
2-53	die	O	_	_	
2-54	Weste	B-NC	Holonym	2-35	
2-55	auch	O	_	_	
2-56	kontrastfarbig	O	_	_	
2-57	oder	O	_	_	
2-58	bunt	O	_	_	
2-59	sein	O	_	_	

#id=3
#text=Eine Weste wird üblicherweise vorn geknöpft , wobei bei der Anzugsweste der unterste Knopf traditionell offen bleibt . Auf der Vorderseite hatte die Weste vier , später auch zwei kleine Taschen , ursprünglich oft zum Einstecken der an einer Uhrkette getragenen Taschenuhr . Zum zweireihigen oder hochgeschlossenen einreihigen Sakko wird üblicherweise keine Weste getragen , da sie nicht zu sehen wäre
3-1	Eine	O	_	_	
3-2	Weste	B-NC	_	_	
3-3	wird	O	_	_	
3-4	üblicherweise	O	_	_	
3-5	vorn	O	_	_	
3-6	geknöpft	O	_	_	
3-7	,	O	_	_	
3-8	wobei	O	_	_	
3-9	bei	O	_	_	
3-10	der	O	_	_	
3-11	Anzugsweste	B-NC	Hypernym	3-2	
3-12	der	O	_	_	
3-13	unterste	O	_	_	
3-14	Knopf	B-NC	Holonym	3-2	
3-15	traditionell	O	_	_	
3-16	offen	O	_	_	
3-17	bleibt	O	_	_	
3-18	.	O	_	_	
3-19	Auf	O	_	_	
3-20	der	O	_	_	
3-21	Vorderseite	B-NC	Holonym	3-24	
3-22	hatte	O	_	_	
3-23	die	O	_	_	
3-24	Weste	B-NC	_	_	
3-25	vier	O	_	_	
3-26	,	O	_	_	
3-27	später	O	_	_	
3-28	auch	O	_	_	
3-29	zwei	O	_	_	
3-30	kleine	O	_	_	
3-31	Taschen	B-NC	Holonym	3-24	
3-32	,	O	_	_	
3-33	ursprünglich	O	_	_	
3-34	oft	O	_	_	
3-35	zum	O	_	_	
3-36	Einstecken	B-NC	_	_	
3-37	der	O	_	_	
3-38	an	O	_	_	
3-39	einer	O	_	_	
3-40	Uhrkette	B-NC	Holonym	3-42	
3-41	getragenen	O	_	_	
3-42	Taschenuhr	B-NC	_	_	
3-43	.	O	_	_	
3-44	Zum	O	_	_	
3-45	zweireihigen	O	_	_	
3-46	oder	O	_	_	
3-47	hochgeschlossenen	O	_	_	
3-48	einreihigen	O	_	_	
3-49	Sakko	B-NC	_	_	
3-50	wird	O	_	_	
3-51	üblicherweise	O	_	_	
3-52	keine	O	_	_	
3-53	Weste	B-NC	Co-Hyponym	3-49	
3-54	getragen	O	_	_	
3-55	,	O	_	_	
3-56	da	O	_	_	
3-57	sie	O	_	_	
3-58	nicht	O	_	_	
3-59	zu	O	_	_	
3-60	sehen	O	_	_	
3-61	wäre	O	_	_	

#id=4
#text=Eine relativ neue Entwicklung sind Westen im legeren Freizeitlook für Männer und Frauen
