 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=A waistcoat ( /ˈwɛskət/ or /ˈweɪstkoʊt/ ; commonly called a vest in American English , and by some Savile Row tailors[citation needed ] ) is a sleeveless upper-body garment . It is usually worn over a dress shirt and necktie and below a coat as a part of most men 's formal wear . It is also sported as the third piece of the three-piece male business suit 
1-1	A	O	_	_	
1-2	waistcoat	B-NC	Holonym|Hypernym	1-67|1-28	
1-3	(	O	_	_	
1-4	/ˈwɛskət/	B-NC	_	_	
1-5	or	O	_	_	
1-6	/ˈweɪstkoʊt/	B-NC	_	_	
1-7	;	O	_	_	
1-8	commonly	O	_	_	
1-9	called	O	_	_	
1-10	a	O	_	_	
1-11	vest	B-NC	Synonym	1-2	
1-12	in	O	_	_	
1-13	American	B-NC	_	_	
1-14	English	I-NC	_	_	
1-15	,	O	_	_	
1-16	and	O	_	_	
1-17	by	O	_	_	
1-18	some	O	_	_	
1-19	Savile	B-NC	_	_	
1-20	Row	I-NC	_	_	
1-21	tailors[citation	I-NC|B-Text mistake	Hypernym	1-50	
1-22	needed	O	_	_	
1-23	]	O	_	_	
1-24	)	O	_	_	
1-25	is	O	_	_	
1-26	a	O	_	_	
1-27	sleeveless	O	_	_	
1-28	upper-body	B-NC	Hypernym	1-53	
1-29	garment	I-NC	_	_	
1-30	.	O	_	_	
1-31	It	O	_	_	
1-32	is	O	_	_	
1-33	usually	O	_	_	
1-34	worn	O	_	_	
1-35	over	O	_	_	
1-36	a	O	_	_	
1-37	dress	B-NC	Hypernym	1-28	
1-38	shirt	I-NC	_	_	
1-39	and	O	_	_	
1-40	necktie	B-NC	Hypernym	1-28	
1-41	and	O	_	_	
1-42	below	O	_	_	
1-43	a	O	_	_	
1-44	coat	B-NC	Hypernym	1-28	
1-45	as	O	_	_	
1-46	a	O	_	_	
1-47	part	B-NC	_	_	
1-48	of	O	_	_	
1-49	most	O	_	_	
1-50	men	B-NC	_	_	
1-51	's	O	_	_	
1-52	formal	O	_	_	
1-53	wear	B-NC	_	_	
1-54	.	O	_	_	
1-55	It	O	_	_	
1-56	is	O	_	_	
1-57	also	O	_	_	
1-58	sported	O	_	_	
1-59	as	O	_	_	
1-60	the	O	_	_	
1-61	third	O	_	_	
1-62	piece	B-NC	_	_	
1-63	of	O	_	_	
1-64	the	O	_	_	
1-65	three-piece	O	_	_	
1-66	male	O	_	_	
1-67	business	B-NC	_	_	
1-68	suit	I-NC	_	_	
