 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Wirbelsäule ( lat. : Columna vertebralis , griech. rhachis ) ist in ihrer Gesamtheit das zentrale tragende Konstruktionselement der Wirbeltiere . Sie bildet die knöcherne Mitte des Körpers , verbindet die Teile des Skelettes miteinander und umhüllt das im Wirbelkanal liegende Rückenmark
1-1	Die	O	_	_	
1-2	Wirbelsäule	B-NC	Holonym|Holonym|Hypernym	1-35|1-21|1-19	
1-3	(	O	_	_	
1-4	lat.	B-NC	_	_	
1-5	:	O	_	_	
1-6	Columna	B-NC	_	_	
1-7	vertebralis	B-NC	_	_	
1-8	,	O	_	_	
1-9	griech.	O	_	_	
1-10	rhachis	B-NC	_	_	
1-11	)	O	_	_	
1-12	ist	O	_	_	
1-13	in	O	_	_	
1-14	ihrer	O	_	_	
1-15	Gesamtheit	B-NC	_	_	
1-16	das	O	_	_	
1-17	zentrale	O	_	_	
1-18	tragende	O	_	_	
1-19	Konstruktionselement	B-NC	_	_	
1-20	der	O	_	_	
1-21	Wirbeltiere	B-NC	_	_	
1-22	.	O	_	_	
1-23	Sie	O	_	_	
1-24	bildet	O	_	_	
1-25	die	O	_	_	
1-26	knöcherne	O	_	_	
1-27	Mitte	B-NC	_	_	
1-28	des	O	_	_	
1-29	Körpers	B-NC	Holonym	1-21	
1-30	,	O	_	_	
1-31	verbindet	O	_	_	
1-32	die	O	_	_	
1-33	Teile	B-NC	_	_	
1-34	des	O	_	_	
1-35	Skelettes	B-NC	Holonym	1-29	
1-36	miteinander	O	_	_	
1-37	und	O	_	_	
1-38	umhüllt	O	_	_	
1-39	das	O	_	_	
1-40	im	O	_	_	
1-41	Wirbelkanal	B-NC	Holonym	1-2	
1-42	liegende	O	_	_	
1-43	Rückenmark	B-NC	Holonym	1-41	

#id=2
#text=Beim Menschen besteht die Wirbelsäule aus 24 Wirbeln , die über 23 Bandscheiben beweglich verbunden sind , sowie 8 bis 10 Wirbeln , die zu Kreuz- und Steißbein verwachsen sind . Da sie fast das gesamte Körpergewicht tragen und auf die Beine verteilen muss , ist die Wirbelsäule unten ( kaudal ) dicker als oben ( kranial ) . Ihre mehrfache Biegung ( „ Doppel-S “ Form ) dient der Dämpfung von Stößen
2-1	Beim	O	_	_	
2-2	Menschen	B-NC	_	_	
2-3	besteht	O	_	_	
2-4	die	O	_	_	
2-5	Wirbelsäule	B-NC	Holonym	2-2	
2-6	aus	O	_	_	
2-7	24	O	_	_	
2-8	Wirbeln	B-NC	Holonym	2-5	
2-9	,	O	_	_	
2-10	die	O	_	_	
2-11	über	O	_	_	
2-12	23	O	_	_	
2-13	Bandscheiben	B-NC	Holonym	2-5	
2-14	beweglich	O	_	_	
2-15	verbunden	O	_	_	
2-16	sind	O	_	_	
2-17	,	O	_	_	
2-18	sowie	O	_	_	
2-19	8	O	_	_	
2-20	bis	O	_	_	
2-21	10	O	_	_	
2-22	Wirbeln	B-NC	Holonym|Holonym	2-28|2-26	
2-23	,	O	_	_	
2-24	die	O	_	_	
2-25	zu	O	_	_	
2-26	Kreuz-	B-NCpart	Holonym	2-5	
2-27	und	O	_	_	
2-28	Steißbein	B-NC	Holonym	2-5	
2-29	verwachsen	O	_	_	
2-30	sind	O	_	_	
2-31	.	O	_	_	
2-32	Da	O	_	_	
2-33	sie	O	_	_	
2-34	fast	O	_	_	
2-35	das	O	_	_	
2-36	gesamte	O	_	_	
2-37	Körpergewicht	B-NC	_	_	
2-38	tragen	O	_	_	
2-39	und	O	_	_	
2-40	auf	O	_	_	
2-41	die	O	_	_	
2-42	Beine	B-NC	Holonym	2-2	
2-43	verteilen	O	_	_	
2-44	muss	O	_	_	
2-45	,	O	_	_	
2-46	ist	O	_	_	
2-47	die	O	_	_	
2-48	Wirbelsäule	B-NC	_	_	
2-49	unten	O	_	_	
2-50	(	O	_	_	
2-51	kaudal	O	_	_	
2-52	)	O	_	_	
2-53	dicker	O	_	_	
2-54	als	O	_	_	
2-55	oben	O	_	_	
2-56	(	O	_	_	
2-57	kranial	O	_	_	
2-58	)	O	_	_	
2-59	.	O	_	_	
2-60	Ihre	O	_	_	
2-61	mehrfache	O	_	_	
2-62	Biegung	B-NC	_	_	
2-63	(	O	_	_	
2-64	„	O	_	_	
2-65	Doppel-S	B-NC	_	_	
2-66	“	O	_	_	
2-67	Form	B-NC	_	_	
2-68	)	O	_	_	
2-69	dient	O	_	_	
2-70	der	O	_	_	
2-71	Dämpfung	B-NC	_	_	
2-72	von	O	_	_	
2-73	Stößen	B-NC	_	_	

#id=3
#text=Der Bezug zur Wirbelsäule wird mit den Adjektiven vertebral oder spinal bezeichnet
3-1	Der	O	_	_	
3-2	Bezug	B-NC	_	_	
3-3	zur	O	_	_	
3-4	Wirbelsäule	B-NC	_	_	
3-5	wird	O	_	_	
3-6	mit	O	_	_	
3-7	den	O	_	_	
3-8	Adjektiven	B-NC	_	_	
3-9	vertebral	O	_	_	
3-10	oder	O	_	_	
3-11	spinal	O	_	_	
3-12	bezeichnet	O	_	_	

