 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Позвоно́чник ( лат . Columna vertebralis ) — несущий элемент скелета у позвоночных животных[1 ]
1-1	Позвоно́чник	B-NC	Holonym|Holonym	1-13|1-11	
1-2	(	O	_	_	
1-3	лат	O	_	_	
1-4	.	O	_	_	
1-5	Columna	O	_	_	
1-6	vertebralis	O	_	_	
1-7	)	O	_	_	
1-8	—	O	_	_	
1-9	несущий	O	_	_	
1-10	элемент	B-NC	_	_	
1-11	скелета	B-NC	_	_	
1-12	у	O	_	_	
1-13	позвоночных	B-NC|B-NC	_	_	
1-14	животных[1	I-NC	_	_	
1-15	]	O	_	_	

#id=2
#text=По строению позвонков и характеру сочленяющихся с ними элементов позвоночник разделяют на отделы . У рыб позвоночник относительно простой и состоит из двух отделов ( туловищного и хвостового ) . У человека позвоночник состоит из 32-34 позвонков — 7 шейных , 12 грудных , 5 поясничных , 5 крестцовых и 3-5 копчиковых . Наиболее массивные из них находятся в поясничном отделе
2-1	По	O	_	_	
2-2	строению	B-NC	_	_	
2-3	позвонков	B-NC	Holonym	2-10	
2-4	и	O	_	_	
2-5	характеру	B-NC	_	_	
2-6	сочленяющихся	O	_	_	
2-7	с	O	_	_	
2-8	ними	O	_	_	
2-9	элементов	B-NC	_	_	
2-10	позвоночник	B-NC	_	_	
2-11	разделяют	O	_	_	
2-12	на	O	_	_	
2-13	отделы	B-NC	_	_	
2-14	.	O	_	_	
2-15	У	O	_	_	
2-16	рыб	B-NC	_	_	
2-17	позвоночник	B-NC	Holonym	2-16	
2-18	относительно	O	_	_	
2-19	простой	O	_	_	
2-20	и	O	_	_	
2-21	состоит	O	_	_	
2-22	из	O	_	_	
2-23	двух	O	_	_	
2-24	отделов	B-NC	_	_	
2-25	(	O	_	_	
2-26	туловищного	O	_	_	
2-27	и	O	_	_	
2-28	хвостового	O	_	_	
2-29	)	O	_	_	
2-30	.	O	_	_	
2-31	У	O	_	_	
2-32	человека	B-NC	Co-Hyponym	2-16	
2-33	позвоночник	B-NC	_	_	
2-34	состоит	O	_	_	
2-35	из	O	_	_	
2-36	32-34	O	_	_	
2-37	позвонков	B-NC	_	_	
2-38	—	O	_	_	
2-39	7	O	_	_	
2-40	шейных	O	_	_	
2-41	,	O	_	_	
2-42	12	O	_	_	
2-43	грудных	O	_	_	
2-44	,	O	_	_	
2-45	5	O	_	_	
2-46	поясничных	O	_	_	
2-47	,	O	_	_	
2-48	5	O	_	_	
2-49	крестцовых	O	_	_	
2-50	и	O	_	_	
2-51	3-5	O	_	_	
