 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Spain defeated the Netherlands in extra time 1–0 to win this year 's FIFA World Cup . The winning goal came in the last few minutes of the match , which saw thirteen yellow cards and one red card
1-1	Spain	B-NC	_	_	
1-2	defeated	O	_	_	
1-3	the	O	_	_	
1-4	Netherlands	B-NC	_	_	
1-5	in	O	_	_	
1-6	extra	O	_	_	
1-7	time	B-NC	_	_	
1-8	1–0	O	_	_	
1-9	to	O	_	_	
1-10	win	O	_	_	
1-11	this	O	_	_	
1-12	year	B-NC	_	_	
1-13	's	O	_	_	
1-14	FIFA	B-NC	_	_	
1-15	World	B-NC	_	_	
1-16	Cup	B-NC	_	_	
1-17	.	O	_	_	
1-18	The	O	_	_	
1-19	winning	O	_	_	
1-20	goal	B-NC	_	_	
1-21	came	O	_	_	
1-22	in	O	_	_	
1-23	the	O	_	_	
1-24	last	O	_	_	
1-25	few	O	_	_	
1-26	minutes	B-NC	_	_	
1-27	of	O	_	_	
1-28	the	O	_	_	
1-29	match	B-NC	_	_	
1-30	,	O	_	_	
1-31	which	O	_	_	
1-32	saw	O	_	_	
1-33	thirteen	O	_	_	
1-34	yellow	B-NC	_	_	
1-35	cards	I-NC|B-NC	_	_	
1-36	and	O	_	_	
1-37	one	O	_	_	
1-38	red	B-NC	Co-Hyponym	1-34	
1-39	card	I-NC|B-NC	_	_	

#id=2
#text=Yesterday 's win marked Spain 's first World Cup victory , in their first World Cup final appearance , making the Spanish team the eighth distinct team to have won the championship since it began in 1930 . It was the second time that the European champion for that year won the World Cup as well , the first being West Germany 's victory in 1974 . It was also the first time that a European team emerged as the World Cup victors on a continent other than Europe . For the Dutch , it was the third time they have lost in the World Cup finals , having done so in 1974 and 1978
2-1	Yesterday	B-NC	_	_	
2-2	's	O	_	_	
2-3	win	B-NC	_	_	
2-4	marked	O	_	_	
2-5	Spain	B-NC	_	_	
2-6	's	O	_	_	
2-7	first	O	_	_	
2-8	World	B-NC	_	_	
2-9	Cup	B-NC	_	_	
2-10	victory	B-NC	Synonym	2-3	
2-11	,	O	_	_	
2-12	in	O	_	_	
2-13	their	O	_	_	
2-14	first	O	_	_	
2-15	World	B-NC	_	_	
2-16	Cup	B-NC	_	_	
2-17	final	O	_	_	
2-18	appearance	B-NC	_	_	
2-19	,	O	_	_	
2-20	making	O	_	_	
2-21	the	O	_	_	
2-22	Spanish	O	_	_	
