 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Zunge ( althochdeutsch zunga , lateinisch lingua , griechisch γλῶσσα glōssa)[1 ] ist ein länglicher , von Schleimhaut überzogener Muskelkörper bei Menschen sowie den meisten anderen Wirbeltieren , der auf dem Boden der Mundhöhle liegt und diese bei geschlossenen Kiefern fast ganz ausfüllt
1-1	Die	O	_	_	
1-2	Zunge	B-NC	Hypernym	1-21	
1-3	(	O	_	_	
1-4	althochdeutsch	O	_	_	
1-5	zunga	O	_	_	
1-6	,	O	_	_	
1-7	lateinisch	O	_	_	
1-8	lingua	B-NC	_	_	
1-9	,	O	_	_	
1-10	griechisch	O	_	_	
1-11	γλῶσσα	O	_	_	
1-12	glōssa)[1	B-NC	_	_	
1-13	]	O	_	_	
1-14	ist	O	_	_	
1-15	ein	O	_	_	
1-16	länglicher	O	_	_	
1-17	,	O	_	_	
1-18	von	O	_	_	
1-19	Schleimhaut	B-NC	_	_	
1-20	überzogener	O	_	_	
1-21	Muskelkörper	B-NC	Holonym	1-28	
1-22	bei	O	_	_	
1-23	Menschen	B-NC	Hypernym	1-28	
1-24	sowie	O	_	_	
1-25	den	O	_	_	
1-26	meisten	O	_	_	
1-27	anderen	O	_	_	
1-28	Wirbeltieren	B-NC	_	_	
1-29	,	O	_	_	
1-30	der	O	_	_	
1-31	auf	O	_	_	
1-32	dem	O	_	_	
1-33	Boden	B-NC	_	_	
1-34	der	O	_	_	
1-35	Mundhöhle	B-NC	Holonym	1-28	
1-36	liegt	O	_	_	
1-37	und	O	_	_	
1-38	diese	O	_	_	
1-39	bei	O	_	_	
1-40	geschlossenen	O	_	_	
1-41	Kiefern	B-NC	Holonym	1-28	
1-42	fast	O	_	_	
1-43	ganz	O	_	_	
1-44	ausfüllt	O	_	_	

#id=2
#text=Sie nimmt am Kauen , Saugen und Schlucken teil und ist mit Sinnesorganen für das Schmecken und Tasten ausgestattet . Die menschliche Zunge ist auch ein wichtiger Bestandteil der Sprachbildung
2-1	Sie	O	_	_	
2-2	nimmt	O	_	_	
2-3	am	O	_	_	
2-4	Kauen	B-NC	_	_	
2-5	,	O	_	_	
2-6	Saugen	B-NC	Co-Hyponym	2-4	
2-7	und	O	_	_	
2-8	Schlucken	B-NC	Co-Hyponym	2-4	
2-9	teil	O	_	_	
2-10	und	O	_	_	
2-11	ist	O	_	_	
2-12	mit	O	_	_	
2-13	Sinnesorganen	B-NC	_	_	
2-14	für	O	_	_	
2-15	das	O	_	_	
2-16	Schmecken	B-NC	_	_	
2-17	und	O	_	_	
2-18	Tasten	B-NC	Co-Hyponym	2-16	
2-19	ausgestattet	O	_	_	
2-20	.	O	_	_	
2-21	Die	O	_	_	
2-22	menschliche	O	_	_	
2-23	Zunge	B-NC	Hypernym	2-13	
2-24	ist	O	_	_	
2-25	auch	O	_	_	
2-26	ein	O	_	_	
2-27	wichtiger	O	_	_	
2-28	Bestandteil	B-NC	_	_	
2-29	der	O	_	_	
2-30	Sprachbildung	B-NC	_	_	

