 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Язык — непарный вырост дна ротовой полости у особей позвоночных
1-1	Язык	B-NC	Holonym|Hypernym	1-6|1-4	
1-2	—	O	_	_	
1-3	непарный	O	_	_	
1-4	вырост	B-NC	_	_	
1-5	дна	B-NC	Holonym	1-7	
1-6	ротовой	B-NC	_	_	
1-7	полости	I-NC|B-NC	_	_	
1-8	у	O	_	_	
1-9	особей	B-NC	_	_	
1-10	позвоночных	O	_	_	

#id=2
#text=Форма и положение языка изменчивы и зависят от его функционального состояния . В состоянии покоя язык имеет лопатообразную форму почти полностью заполняя полость рта . Верхушка языка прилежит к задней поверхности передних зубов
2-1	Форма	B-NC	_	_	
2-2	и	O	_	_	
2-3	положение	B-NC	Co-Hyponym	2-1	
2-4	языка	B-NC	_	_	
2-5	изменчивы	O	_	_	
2-6	и	O	_	_	
2-7	зависят	O	_	_	
2-8	от	O	_	_	
2-9	его	O	_	_	
2-10	функционального	O	_	_	
2-11	состояния	B-NC	_	_	
2-12	.	O	_	_	
2-13	В	O	_	_	
2-14	состоянии	B-NC	_	_	
2-15	покоя	B-NC	_	_	
2-16	язык	B-NC	Holonym	2-23	
2-17	имеет	O	_	_	
2-18	лопатообразную	O	_	_	
2-19	форму	B-NC	_	_	
2-20	почти	O	_	_	
2-21	полностью	O	_	_	
2-22	заполняя	O	_	_	
2-23	полость	B-NC|B-NC	_	_	
2-24	рта	I-NC|B-NC	_	_	
2-25	.	O	_	_	
2-26	Верхушка	B-NC	Holonym	2-27	
2-27	языка	B-NC	_	_	
2-28	прилежит	O	_	_	
2-29	к	O	_	_	
2-30	задней	O	_	_	
2-31	поверхности	B-NC	_	_	
2-32	передних	O	_	_	
2-33	зубов	B-NC	Co-Hyponym	2-27	

